instance,ALG1_obj,ALG1_runtime,ALG2_obj,ALG2_runtime,HRA_obj,HRA_runtime
rasp_gaussian_m250_k20_c25_s100_k19_g2,1023537.181820,88.315264,1339744.522961,428.322874,2109373.322183,176.726041
rasp_gaussian_m250_k20_c25_s100_k19_g3,1048758.978071,92.069802,1317665.605423,418.884936,2020537.801431,172.675031
rasp_gaussian_m250_k20_c25_s100_k19_g4,987873.320129,90.523200,1323427.837011,417.093290,2125876.311250,170.969662
rasp_gaussian_m250_k20_c25_s100_k19_g5,1082421.739293,93.311128,1407878.748759,428.711949,2096560.609767,179.877655
rasp_gaussian_m250_k20_c25_s100_k19_g6,1134604.171022,91.057339,1495710.498682,437.765689,2285896.343390,179.663834
rasp_gaussian_m250_k20_c25_s100_k19_g7,1101391.447384,90.326913,1409198.511961,419.857556,2127900.059126,186.968803
rasp_gaussian_m250_k20_c25_s100_k19_g8,1057288.928550,91.766602,1430479.627671,430.868453,2288959.967438,176.273002
rasp_gaussian_m250_k20_c25_s100_k19_g9,1074367.261135,92.597753,1439756.342794,420.491012,1992989.915278,176.816342
rasp_gaussian_m250_k21_c25_s100_k20_g1,1107220.232504,102.616658,1412618.474983,478.968210,2659596.967060,211.253535
rasp_gaussian_m250_k21_c25_s100_k20_g10,1033120.409747,98.677673,1397824.916838,469.775334,2630806.984522,207.938684
rasp_gaussian_m250_k21_c25_s100_k20_g2,1175099.996487,99.813150,1575077.560224,478.486484,2839994.573375,203.778457
rasp_gaussian_m250_k21_c25_s100_k20_g3,1045437.196207,102.154673,1375001.418447,466.507171,2588890.300438,207.767092
rasp_gaussian_m250_k21_c25_s100_k20_g4,969632.689056,104.120273,1264085.216551,461.534387,2406559.523879,208.746849
rasp_gaussian_m250_k21_c25_s100_k20_g5,986214.767454,106.295517,1272500.972402,468.965480,2520138.120214,210.655868
rasp_gaussian_m250_k21_c25_s100_k20_g6,1135197.382993,103.785872,1520073.903910,475.134520,2824483.657846,207.845941
rasp_gaussian_m250_k21_c25_s100_k20_g7,1064545.601554,103.755330,1328620.463206,484.662587,2425564.649344,203.798697
rasp_gaussian_m250_k21_c25_s100_k20_g8,1128765.988860,100.147166,1535618.560135,475.586331,2599390.481807,205.794213
rasp_gaussian_m250_k21_c25_s100_k20_g9,1120545.277763,118.769315,1482261.734693,481.440609,2853456.363737,203.249095
rasp_gaussian_m250_k22_c25_s100_k21_g1,1025138.929736,113.177115,1365137.371587,528.198438,2793091.503131,240.135098
rasp_gaussian_m250_k22_c25_s100_k21_g10,1123051.567487,107.883668,1515140.903933,520.939229,2811424.814781,241.333697
rasp_gaussian_m250_k22_c25_s100_k21_g2,1047988.347918,108.145970,1409182.558906,519.403948,2785490.595701,234.567720
rasp_gaussian_m250_k22_c25_s100_k21_g3,969301.025648,112.769199,1253139.329260,521.663144,2541426.613818,238.393525
rasp_gaussian_m250_k22_c25_s100_k21_g4,982502.964160,113.831984,1267719.563069,531.005476,2362131.060648,240.270567
rasp_gaussian_m250_k22_c25_s100_k21_g5,1021720.072241,115.022790,1349695.120073,535.641733,2529516.681777,237.756008
rasp_gaussian_m250_k22_c25_s100_k21_g6,1176299.336990,112.749979,1530471.371775,520.198674,2868926.605616,245.008705
rasp_gaussian_m250_k22_c25_s100_k21_g7,1031045.438731,114.530423,1302289.247538,598.350474,2505687.832120,257.281807
rasp_gaussian_m250_k22_c25_s100_k21_g8,1127414.416398,113.693600,1503810.856561,521.493641,2985571.455633,243.983461
rasp_gaussian_m250_k22_c25_s100_k21_g9,1081385.396293,113.366697,1424261.906493,541.626862,2720612.443043,237.106446
rasp_gaussian_m250_k23_c25_s100_k22_g1,1110011.018976,124.193592,1498006.626859,588.298853,3163466.243640,283.996492
rasp_gaussian_m250_k23_c25_s100_k22_g10,991888.042751,125.918264,1315639.008808,598.123059,2979751.994284,281.359090
